reg_number,bank,branch_name,address,city,branch_phone,url,note,history
0418,Danske Bank,Danske Bank Roskilde Afdeling,"Stændertorvet 5, 4000 Roskilde",Roskilde,+4545122100,www.danskebank.dk,Roskilde,
0421,Danske Bank,Eksport & Import Inkasso,"2-12 Holmens Kanal, 1092 København K",København K,+4545143626,www.danskebank.dk,Inkasso,
0424,Danske Bank,,,,,www.danskebank.dk,Handelsfinans,
0429,Danske Bank,Danske Bank Roskilde Afdeling,"Stændertorvet 5, 4000 Roskilde",Roskilde,+4545122100,www.danskebank.dk,Roskilde,
0430,Danske Bank,Danske Bank Roskilde Afdeling,"Stændertorvet 5, 4000 Roskilde",Roskilde,+4545122100,www.danskebank.dk,Roskilde,
0434,Danske Bank,Danske Bank Greve Afdeling,"Greve Midtby Center 12A, 2670 Greve",Greve,+4545121880,www.danskebank.dk,Greve,
0435,Nordea,,,,,www.nordea.dk,,
0440,Danske Bank,Danske Bank Tre Falke Afdeling,"Gammel Kongevej 160, 1850 Frederiksberg C",Frederiksberg C,+4545125730,www.danskebank.dk,Tre Falke,
0443,Danske Bank,Danske Bank Gammel Kongevej Afdeling,"Gl. Kongevej 116, 1850 Frederiksberg C",Frederiksberg C,+4545123290,www.danskebank.dk,Gammel Kongevej,
0452,Danske Bank,Danske Bank Holte Afdeling,"Holte Midtpunkt 1, 2840 Holte",Holte,+4545124820,www.danskebank.dk,Holte,
0454,Danske Bank,Danske Bank Nærumvænge Afdeling,"Nærumvænge Torv 10, 2850 Nærum",Nærum,+4545122270,www.danskebank.dk,Nærum,
0455,Danske Bank,Danske Bank Virum-Sorgenfri Afdeling,"Sorgenfri Torv 21, 2830 Virum",Virum,+4545123730,www.danskebank.dk,Sorgenfri,
0465,Nordea,Nordea Helsingør Afdeling,"Stengade 45, 3000 Helsingør",Helsingør,+4570333333,www.nordea.dk,Helsingør,
0466,Nordea,Nordea Helsingør Afdeling,"Stengade 45, 3000 Helsingør",Helsingør,+4570333333,www.nordea.dk,Helsingør,
0467,Nordea,Nordea Nivå Afdeling,"Nivå Center 21, 2990 Nivå",Nivå,+4570333333,www.nordea.dk,Nivå,
